"","Comparison","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"1","1",1,0.297715084253548,0.297715084253548,4.81022315371626,0.112361552903952,1
"2","1",38,2.35190194718816,0.0618921565049515,NA,0.887638447096048,NA
"3","1",39,2.64961703144171,NA,NA,1,NA
"4","2",1,0.0112615164223625,0.0112615164223625,0.164307388582971,0.0043052632112518,1
"5","2",38,2.60449409938541,0.0685393184048793,NA,0.995694736788748,NA
"6","2",39,2.61575561580778,NA,NA,1,NA
"7","3",1,0.295069798908264,0.295069798908264,12.0899158376469,0.241364267347406,1
"8","3",38,0.927438413061477,0.0244062740279336,NA,0.758635732652594,NA
"9","3",39,1.22250821196974,NA,NA,1,NA
"10","4",1,0.232705982673283,0.232705982673283,11.8828778719749,0.238215563714517,1
"11","4",38,0.744165465374346,0.0195833017203775,NA,0.761784436285483,NA
"12","4",39,0.976871448047629,NA,NA,1,NA
"13","5",1,0.119694970184883,0.119694970184883,5.61252050132553,0.128690578687259,1
"14","5",38,0.810403964840987,0.0213264201273944,NA,0.871309421312741,NA
"15","5",39,0.93009893502587,NA,NA,1,NA
"16","6",1,0.288004254246347,0.288004254246347,2.66702055081366,0.0655819018627441,1
"17","6",38,4.1035160595303,0.107987264724482,NA,0.934418098137256,NA
"18","6",39,4.39152031377664,NA,NA,1,NA
"19","7",1,1.0932637325186,1.0932637325186,17.1212447128531,0.310610633015346,1
"20","7",38,2.42646037320636,0.0638542203475358,NA,0.689389366984654,NA
"21","7",39,3.51972410572496,NA,NA,1,NA
"22","8",1,0.889374074648809,0.889374074648809,15.066157402711,0.283912725927679,1
"23","8",38,2.24318742551923,0.0590312480399797,NA,0.71608727407232,NA
"24","8",39,3.13256150016804,NA,NA,1,NA
"25","9",1,0.723423079605027,0.723423079605027,11.9034244517538,0.238529210821232,1
"26","9",38,2.30942592498587,0.0607743664469966,NA,0.761470789178768,NA
"27","9",39,3.0328490045909,NA,NA,1,NA
"28","10",1,0.296978702261469,0.296978702261469,4.21238127245587,0.0997901834835484,1
"29","10",38,2.67905252540362,0.0705013822474636,NA,0.900209816516452,NA
"30","10",39,2.97603122766509,NA,NA,1,NA
"31","11",1,0.238521689546435,0.238521689546435,3.6316605375293,0.0872331415715572,1
"32","11",38,2.49577957771649,0.0656784099399075,NA,0.912766858428443,NA
"33","11",39,2.73430126726292,NA,NA,1,NA
"34","12",1,0.128293529955586,0.128293529955586,1.90285704138058,0.047687238019254,1
"35","12",38,2.56201807718313,0.0674215283469244,NA,0.952312761980746,NA
"36","12",39,2.69031160713871,NA,NA,1,NA
"37","13",1,0.0291349937870803,0.0291349937870803,1.35226268043303,0.0343630223099068,1
"38","13",38,0.81872389139255,0.0215453655629618,NA,0.965636977690093,NA
"39","13",39,0.84785888517963,NA,NA,1,NA
"40","14",1,0.0409071238446312,0.0409071238446312,1.75653872091308,0.0441823855251537,1
"41","14",38,0.884962390859191,0.0232884839699787,NA,0.955817614474846,NA
"42","14",39,0.925869514703822,NA,NA,1,NA
"43","15",1,0.0266202795057069,0.0266202795057069,1.44162154790865,0.036550767725347,1
"44","15",38,0.70168944317206,0.0184655116624226,NA,0.963449232274653,NA
"45","15",39,0.728309722677767,NA,NA,1,NA
"46","16",1,0.061964293428958,0.061964293428958,0.630514297644127,0.0187482799716892,1
"47","16",33,3.24310121244823,0.0982757943166131,NA,0.981251720028311,NA
"48","16",34,3.30506550587719,NA,NA,1,NA
"49","17",1,0.296666795089484,0.296666795089484,2.42320051026983,0.0665290385337387,1
"50","17",34,4.1625408175237,0.122427671103638,NA,0.933470961466261,NA
"51","17",35,4.45920761261319,NA,NA,1,NA
"52","18",1,0.0327574396550447,0.0327574396550447,0.378532702380318,0.0110107288655199,1
"53","18",34,2.94228990327106,0.0865379383315018,NA,0.98898927113448,NA
"54","18",35,2.97504734292611,NA,NA,1,NA
"55","19",1,0.0245125537296835,0.0245125537296835,0.296408585761554,0.0104751309645247,1
"56","19",28,2.31555878406057,0.0826985280021631,NA,0.989524869035475,NA
"57","19",29,2.34007133779025,NA,NA,1,NA
"58","20",1,0.501400080602613,0.501400080602613,5.16966003569984,0.14699203888955,1
"59","20",30,2.90966955548405,0.0969889851828016,NA,0.85300796111045,NA
"60","20",31,3.41106963608666,NA,NA,1,NA
"61","21",1,0.378426704296838,0.378426704296838,2.45044156992949,0.0755133505548415,1
"62","21",30,4.63296136835934,0.154432045611978,NA,0.924486649445158,NA
"63","21",31,5.01138807265618,NA,NA,1,NA
"64","22",1,0.135374445340918,0.135374445340918,1.29227325556795,0.04001803296227,1
"65","22",31,3.24746162430181,0.104756826590381,NA,0.95998196703773,NA
"66","22",32,3.38283606964273,NA,NA,1,NA
"67","23",1,0.0858483495046762,0.0858483495046762,1.31278846419493,0.0406275201426705,1
"68","23",31,2.02721071004917,0.0653938938725537,NA,0.959372479857329,NA
"69","23",32,2.11305905955384,NA,NA,1,NA
"70","24",1,-0.0102560729837624,-0.0102560729837624,-0.183081443150853,-0.00737728347423394,1
"71","24",25,1.40047959083867,0.0560191836335468,NA,1.00737728347423,NA
"72","24",26,1.39022351785491,NA,NA,1,NA
"73","25",1,0.31014538287914,0.31014538287914,4.19831835958514,0.134568738968435,1
"74","25",27,1.99459036226215,0.0738737171208205,NA,0.865431261031565,NA
"75","25",28,2.30473574514129,NA,NA,1,NA
"76","26",1,0.238032304921369,0.238032304921369,1.72863795304094,0.060171246401118,1
"77","26",27,3.71788217513745,0.137699339819905,NA,0.939828753598882,NA
"78","26",28,3.95591448005882,NA,NA,1,NA
"79","27",1,0.372237511792445,0.372237511792445,4.04242075017116,0.112157304255208,1
"80","27",32,2.94665031512464,0.0920828223476449,NA,0.887842695744792,NA
"81","27",33,3.31888782691708,NA,NA,1,NA
"82","28",1,0.0758569612132172,0.0758569612132172,0.850150727239656,0.0316627916124572,1
"83","28",26,2.31991919591414,0.0892276613813131,NA,0.968337208387543,NA
"84","28",27,2.39577615712736,NA,NA,1,NA
"85","29",1,-0.131821660614319,-0.131821660614319,-1.26663299230693,-0.0473802268132718,1
"86","29",28,2.91402996733762,0.104072498833487,NA,1.04738022681327,NA
"87","29",29,2.78220830672331,NA,NA,1,NA
"88","30",1,-0.139447372721238,-0.139447372721238,-0.84197875869968,-0.0310029494129436,1
"89","30",28,4.63732178021292,0.165618635007604,NA,1.03100294941294,NA
"90","30",29,4.49787440749168,NA,NA,1,NA
"91","31",1,0.0790148984461244,0.0790148984461244,1.86818824718236,0.0670365877613606,1
"92","31",26,1.0996682816615,0.0422949339100577,NA,0.932963412238639,NA
"93","31",27,1.17868318010763,NA,NA,1,NA
"94","32",1,0.601571026902503,0.601571026902503,9.94461982664803,0.262082473670327,1
"95","32",28,1.69377905308498,0.0604921090387494,NA,0.737917526329673,NA
"96","32",29,2.29535007998749,NA,NA,1,NA
"97","33",1,0.404469000672765,0.404469000672765,3.31428069919609,0.105839272855505,1
"98","33",28,3.41707086596028,0.122038245212867,NA,0.894160727144495,NA
"99","33",29,3.82153986663304,NA,NA,1,NA
"100","34",1,0.254446754054759,0.254446754054759,5.24608915072708,0.192544666565002,1
"101","34",22,1.06704793387449,0.0485021788124768,NA,0.807455333434998,NA
"102","34",23,1.32149468792925,NA,NA,1,NA
"103","35",1,0.12661496392344,0.12661496392344,0.998276001895577,0.0434065580312758,1
"104","35",22,2.79033974674978,0.126833624852263,NA,0.956593441968724,NA
"105","35",23,2.91695471067322,NA,NA,1,NA
"106","36",1,-0.0104529500397025,-0.0104529500397025,-0.0741245291091642,-0.00309809056723325,1
"107","36",24,3.38445051817326,0.141018771590553,NA,1.00309809056723,NA
"108","36",25,3.37399756813356,NA,NA,1,NA
"109","37",1,0.30878141732459,0.30878141732459,2.83336915015755,0.105591255958289,1
"110","37",24,2.61552717738106,0.108980299057544,NA,0.894408744041711,NA
"111","37",25,2.92430859470565,NA,NA,1,NA
"112","38",1,0.211000640210931,0.211000640210931,1.86195244536559,0.0851686257217293,1
"113","38",20,2.26644499687533,0.113322249843766,NA,0.914831374278271,NA
"114","38",21,2.47744563708626,NA,NA,1,NA
"115","39",1,2.24949932251671,2.24949932251671,14.2766023565311,0.404704574784197,1
"116","39",21,3.30887452022086,0.15756545334385,NA,0.595295425215803,NA
"117","39",22,5.55837384273757,NA,NA,1,NA
"118","40",1,0.899967589488782,0.899967589488782,6.30126697097203,0.201310284878106,1
"119","40",25,3.57058189104926,0.14282327564197,NA,0.798689715121894,NA
"120","40",26,4.47054948053804,NA,NA,1,NA
"121","41",1,0.115333088496493,0.115333088496493,1.01005084238683,0.0360603002140341,1
"122","41",27,3.08300657623007,0.114185428749262,NA,0.963939699785966,NA
"123","41",28,3.19833966472656,NA,NA,1,NA
"124","42",1,0.0076767383473072,0.0076767383473072,0.0566291460294837,0.00235399339141537,1
"125","42",24,3.25347869875078,0.135561612447949,NA,0.997646006608585,NA
"126","42",25,3.26115543709809,NA,NA,1,NA
"127","43",1,4.95338401815958,4.95338401815958,28.8261745949407,0.535541951696678,1
"128","43",25,4.29590822209632,0.171836328883853,NA,0.464458048303322,NA
"129","43",26,9.2492922402559,NA,NA,1,NA
"130","44",1,3.00678109844442,3.00678109844442,19.1320768671788,0.39749119739782,1
"131","44",29,4.55761559292471,0.157159158376714,NA,0.60250880260218,NA
"132","44",30,7.56439669136914,NA,NA,1,NA
"133","45",1,0.042560558469429,0.042560558469429,0.324168121787342,0.0103488182200717,1
"134","45",31,4.07004027810553,0.131291621874372,NA,0.989651181779928,NA
"135","45",32,4.11260083657495,NA,NA,1,NA
"136","46",1,4.13076661750482,4.13076661750482,21.9786983397531,0.511385853661928,1
"137","46",21,3.94682604159058,0.187944097218599,NA,0.488614146338072,NA
"138","46",22,8.0775926590954,NA,NA,1,NA
"139","47",1,2.44977272805228,2.44977272805228,14.5524134418372,0.367927319106251,1
"140","47",25,4.20853341241898,0.168341336496759,NA,0.632072680893749,NA
"141","47",26,6.65830614047126,NA,NA,1,NA
"142","48",1,-0.0317222801810043,-0.0317222801810043,-0.23018307178455,-0.00859860463005023,1
"143","48",27,3.72095809759979,0.137813262874066,NA,1.00859860463005,NA
"144","48",28,3.68923581741879,NA,NA,1,NA
"145","49",1,0.36324299802108,0.36324299802108,1.79858781409833,0.0647006900539805,1
"146","49",26,5.25096293576451,0.20196011291402,NA,0.93529930994602,NA
"147","49",27,5.61420593378559,NA,NA,1,NA
"148","50",1,4.4413930817943,4.4413930817943,26.1072615093122,0.482509385636141,1
"149","50",28,4.76338762094533,0.170120986462333,NA,0.517490614363859,NA
"150","50",29,9.20478070273962,NA,NA,1,NA
"151","51",1,2.35511507099699,2.35511507099699,14.9974642062045,0.319112200190251,1
"152","51",32,5.02509499177372,0.157034218492929,NA,0.680887799809749,NA
"153","51",33,7.38021006277071,NA,NA,1,NA
