"","SiteCode","MonthYear","County","SCTLD","TotalObservations","Prevalence"
"1","BC1","03-19","Broward",6,154,0.038961038961039
"2","BC1","06-19","Broward",16,307,0.0521172638436482
"3","BC1","11-18","Broward",26,236,0.110169491525424
"4","BC1","12-18","Broward",23,315,0.073015873015873
"5","FTL4","03-19","Broward",6,95,0.0631578947368421
"6","FTL4","05-19","Broward",7,128,0.0546875
"7","FTL4","06-19","Broward",5,118,0.0423728813559322
"8","FTL4","11-18","Broward",9,65,0.138461538461538
"9","SEFL01","11-17","Martin",11,46,0.239130434782609
"10","SEFL02","11-17","Martin",3,10,0.3
"11","SEFL04","03-19","Palm Beach",4,66,0.0606060606060606
"12","SEFL04","05-18","Palm Beach",0,28,0
"13","SEFL04","05-19","Palm Beach",0,143,0
"14","SEFL04","08-18","Palm Beach",0,60,0
"15","SEFL04","12-17","Palm Beach",0,47,0
"16","SEFL04","12-18","Palm Beach",0,190,0
"17","SEFL05","03-19","Palm Beach",1,13,0.0769230769230769
"18","SEFL05","05-19","Palm Beach",0,16,0
"19","SEFL05","06-18","Palm Beach",0,24,0
"20","SEFL05","08-18","Palm Beach",0,19,0
"21","SEFL05","12-17","Palm Beach",0,24,0
"22","SEFL05","12-18","Palm Beach",0,33,0
"23","SEFL06","03-19","Palm Beach",9,84,0.107142857142857
"24","SEFL06","05-19","Palm Beach",1,183,0.00546448087431694
"25","SEFL06","06-18","Palm Beach",0,90,0
"26","SEFL06","08-18","Palm Beach",2,94,0.0212765957446809
"27","SEFL06","12-17","Palm Beach",1,130,0.00769230769230769
"28","SEFL06","12-18","Palm Beach",7,240,0.0291666666666667
"29","SEFL08","02-19","Palm Beach",0,162,0
"30","SEFL08","04-18","Palm Beach",0,129,0
"31","SEFL08","05-19","Palm Beach",0,63,0
"32","SEFL08","06-19","Palm Beach",0,110,0
"33","SEFL08","08-18","Palm Beach",0,87,0
"34","SEFL08","12-17","Palm Beach",0,38,0
"35","SEFL11","02-19","Palm Beach",0,155,0
"36","SEFL11","03-19","Palm Beach",2,55,0.0363636363636364
"37","SEFL11","05-19","Palm Beach",0,68,0
"38","SEFL11","06-19","Palm Beach",1,77,0.012987012987013
"39","SEFL11","08-18","Palm Beach",2,58,0.0344827586206897
"40","SEFL11","12-17","Palm Beach",1,44,0.0227272727272727
"41","SEFL12","02-19","Palm Beach",0,99,0
"42","SEFL12","03-19","Palm Beach",2,40,0.05
"43","SEFL12","05-19","Palm Beach",0,24,0
"44","SEFL12","06-19","Palm Beach",1,54,0.0185185185185185
"45","SEFL12","12-17","Palm Beach",0,30,0
"46","SLR Central","03-19","Martin",0,246,0
"47","SLR Central","06-19","Martin",1,62,0.0161290322580645
"48","SLR Ledge","03-19","Martin",0,53,0
"49","SLR Ledge","04-19","Martin",1,8,0.125
"50","SLR Ledge","06-19","Martin",0,9,0
"51","SLR North","04-19","Martin",3,7,0.428571428571429
"52","SLR North","06-19","Martin",2,5,0.4
"53","SLR South","03-19","Martin",0,13,0
"54","SLR South","04-19","Martin",0,7,0
"55","SLR South","06-19","Martin",0,2,0
"56","T328","03-19","Broward",11,51,0.215686274509804
"57","T328","05-19","Broward",11,96,0.114583333333333
"58","T328","06-19","Broward",13,68,0.191176470588235
"59","T328","11-18","Broward",17,76,0.223684210526316
"60","T328","12-18","Broward",20,212,0.0943396226415094
